,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
400,4,1544,2,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
431,4,1544,87,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
432,4,1544,87,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
434,4,1544,89,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
436,4,1544,90,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF
443,5,1545,0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
447,5,1545,2,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
449,5,1545,7,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
452,5,1545,14,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
453,5,1545,14,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
455,5,1545,15,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
456,5,1545,15,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
457,5,1545,15,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
458,5,1545,17,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
462,5,1545,25,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
464,5,1545,26,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
465,5,1545,27,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
467,5,1545,31,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
468,5,1545,38,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
470,5,1545,40,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
472,5,1545,41,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
474,5,1545,43,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
476,5,1545,45,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
477,5,1545,46,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
478,5,1545,48,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
479,5,1545,48,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
481,5,1545,50,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
482,5,1545,50,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
483,5,1545,50,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L
484,5,1545,50,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
485,5,1545,51,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
486,5,1545,51,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
487,5,1545,51,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
488,5,1545,51,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
489,5,1545,52,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
490,5,1545,52,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
491,5,1545,53,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
493,5,1545,55,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
494,5,1545,57,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
495,5,1545,58,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
496,5,1545,60,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
498,5,1545,62,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
499,5,1545,64,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
500,5,1545,66,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
502,5,1545,68,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
503,5,1545,68,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
504,5,1545,69,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
505,5,1545,72,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
506,5,1545,72,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
507,5,1545,73,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
508,5,1545,75,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
509,5,1545,76,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
510,5,1545,78,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
511,5,1545,82,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
513,5,1545,84,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
514,5,1545,86,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
515,5,1545,87,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
516,5,1545,87,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
517,5,1545,88,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
518,5,1545,88,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
519,5,1545,90,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
525,5,1545,94,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
529,5,1545,96,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
531,5,1545,97,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
532,5,1545,97,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
533,5,1545,98,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
535,5,1545,100,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
537,5,1545,102,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
538,5,1545,104,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
539,5,1545,107,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
540,5,1545,109,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
541,5,1545,109,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
542,5,1545,109,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L
543,5,1545,109,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L
544,5,1545,111,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
546,5,1545,112,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
547,5,1545,112,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
548,5,1545,114,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
549,5,1545,114,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
550,5,1545,114,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L
554,5,1545,115,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
555,5,1545,115,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
