,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
221,1.0,1436,162.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
222,1.0,1436,168.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
226,1.0,1436,169.0,ORG,Union Peacemaking Working Committee (UPWC),Union Peacemaking Working Committee (UPWC),UPWC,SpaCy
228,2.0,1518,0.0,ORG,Food and Drug Administration (FDA),Food and Drug Administration (FDA),FDA,SpaCy
229,2.0,1518,0.0,ORG,Nationalities Brotherhood Federation (NBF),Nationalities Brotherhood Federation (NBF),NBF,SpaCy
230,2.0,1518,0.0,ORG,National League Democracy (NLD),National League Democracy (NLD),NLD,SpaCy
232,2.0,1518,0.0,ORG,United Nationalities Alliance (UNA),United Nationalities Alliance (UNA),UNA,SpaCy
233,2.0,1518,0.0,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
253,2.0,1518,47.0,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
260,2.0,1518,84.0,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
273,2.0,1518,138.0,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC,SpaCy
283,3.0,1519,0.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
284,3.0,1519,0.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
286,3.0,1519,0.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
290,3.0,1519,0.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
291,3.0,1519,0.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
302,3.0,1519,18.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
309,3.0,1519,31.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
310,3.0,1519,33.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
311,3.0,1519,33.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
314,3.0,1519,35.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
315,3.0,1519,37.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
321,3.0,1519,45.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
325,3.0,1519,56.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
327,3.0,1519,58.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
329,3.0,1519,58.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
331,3.0,1519,64.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
334,3.0,1519,75.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
345,3.0,1519,99.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
346,3.0,1519,99.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
349,3.0,1519,101.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
350,3.0,1519,101.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
