doc_id,agreement_id,sentence_number,entity,entity_type,org_correction,corrected_entity_org,entity_correction,entity_abr
1,1436,106, Government Republic Union Myanmar, ORG ,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1,1436,106, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,110, Pyidaungsu Hluttaw, GPE ,Hluttaw,ORG,Hluttaw,Hluttaw
1,1436,113, Ethnic Armed  Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,114, Joint Monitoring Committee, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
1,1436,114, Union Peace Dialogue Joint Committee, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
1,1436,120, Hluttaws, ORG ,Hluttaw,ORG,Hluttaw,Hluttaw
1,1436,120, Tatmadaw, PERSON ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
1,1436,120, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,130, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,132, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,140, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,141, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,141, Ethnic Armed Organization, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,142, Pyidaungsu Hluttaw, PERSON ,Hluttaw,ORG,Hluttaw,Hluttaw
1,1436,143, Pyidaungsu Hluttaw, GPE ,Hluttaw,ORG,Hluttaw,Hluttaw
1,1436,156, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,161, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,162, Hluttaw, ORG ,Hluttaw,ORG,Hluttaw,Hluttaw
1,1436,162, Tatmadaw, PERSON ,Tatmadaw,ORG,Tatmadaw,Tatmadaw
1,1436,168, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
1,1436,169, UPWC, ORG ,Union Peacemaking Working Committee (UPWC),ORG,Union Peacemaking Working Committee (UPWC),UPWC
2,1518,0, FDA, ORG ,Food and Drug Administration (FDA),ORG,Food and Drug Administration (FDA),FDA
2,1518,0, NLD, ORG ,National League Democracy (NLD),ORG,National League Democracy (NLD),NLD
2,1518,0, UNA, ORG ,United Nationalities Alliance (UNA),ORG,United Nationalities Alliance (UNA),UNA
2,1518,0, UEC, ORG ,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
