,agreement_id,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER,entity_overall_description,NCA_status
457,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
458,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
459,1545, PERSON , Chairperson, Chairperson,,SpaCy,,
460,1545, ORG , Committee, Committee,JMC,SpaCy,,
461,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
462,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
463,1545, ORG , NCA, NCA,,SpaCy,Peace Talks,
464,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
465,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
466,1545, PERSON ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
467,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
468,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
469,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
470,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
471,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
472,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
473,1545, ORG , International Community, International Community,,SpaCy,,
474,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
475,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
476,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
477,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
478,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
479,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
480,1545, ORG ,Joint Implementing Coordination Meeting (JICM),Joint Implementing Coordination Meeting (JICM),JICM,SpaCy,Peace Committee,
481,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
482,1545, ORG ,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy,Peace Committee,
483,1545, ORG ,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy,Peace Committee,
484,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
485,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
486,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
487,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
488,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
489,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
490,1545, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy,Peace Committee,
491,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
492,1545, ORG , Verification Teams, Verification Teams,,SpaCy,,
493,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
494,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
495,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
496,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
497,1545, ORG , NCA, NCA,,SpaCy,Peace Talks,
498,1545, ORG ,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy,Peace Committee,
499,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
500,1545, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy,Peace Committee,
501,1545, ORG , Verification Teams, Verification Teams,,SpaCy,,
